IATA,ICAO,Airline,Call sign,Country/Region,Comments
,APX,Apex Air Cargo,PARCEL EXPRESS,United States,
,APY,APA Internacional,APA INTERNACIONAL,Dominican Republic,
YP,APZ,Air Premia,AIR PREMIA,South Korea,
,AQA,"Aeroatlas, S.A.",ATCO,Colombia,
,AQL,Aquila Air Ltd.,AQUILA,Canada,
,AQN,Air Queensland,BUSHAIR,Australia,defunct
,AQO,Aluminum Company Of America,ALCOA SHUTTLE,United States,Alcoa Aircraft Operations
,AQT,Avioquintana,AVIOQUINTANA,Mexico,
,AQU,AirQuarius Aviation,QUARIUS,South Africa,defunct
,AQZ,Aerodyne Charter Company,QUANZA,United States,
,ARA,Arik Air,ARIK AIR,Nigeria,
,ARB,Avia Air N.V.,AVIAIR,Aruba,
,ARC,Air Routing International Corp.,,United States,
4C,ARE,"Aires, Aerovías de Integración Regional, S.A.",AIRES,Colombia,renamed to LAN Colombia
4C,ARE,LATAM Colombia,LAN COLOMBIA,Colombia,
GV,ARF,Aero Flight,Aero Fox,Germany,defunct
AR,ARG,Aerolíneas Argentinas,ARGENTINA,Argentina,
,ARH,Aerohelicopteros,AEROHELCA,Venezuela,2014
,ARH,Arrowhead Airways,ARROWHEAD,United States,
,ARI,Aero Vics,AEROVICS,Mexico,
,ARJ,"Aerojet de Costa Rica, S.A.",,Costa Rica,
,ARK,Aero Link Air Services S.L.,LINK SERVICE,Spain,
,ARL,Airlec - Air Aquitaine Transport,AIRLEC,France,
,ARM,Aeromarket Express,AMEX,Spain,defunct
,ARO,Acero Taxi,ACERO,Mexico,
,ARO,Arrow Aviation Ltd.,ARROW,Canada,defunct
,ARP,Aero Corporate,IVORYCORP,Côte d'Ivoire,
,ARQ,"Armstrong Air, Inc.",ARMSTRONG,Canada,
QN,ARR,Air Armenia,AIR ARMENIA,Armenia,
,ARS,Aeromet Servicios,METSERVICE,Chile,
,ART,Aerotal Aerolíneas Territoriales de Colombia Ltda.,AEROTAL,Colombia,defunct
6Y,ART,Smartlynx Airlines,SMART LYNX,Latvia,
AG,ARU,Aruba Airlines,ARUBA,Aruba,
,ARV,Aravco Ltd.,ARAVCO,United Kingdom,
,ARW,Aria,ARIABIRD,France,
,ARX,"Air Xpress, Inc.",AIREX,United States,
,ARY,Argosy Airways,GOSEY,United States,
,ARZ,Air Resorts,AIR RESORTS,United States,
AS,ASA,"Alaska Airlines, Inc.",ALASKA,United States,
,ASB,Air-Spray 1967 Ltd.,AIR SPRAY,Canada,
,ASC,Air Star Corporation,AIR STAR,Canada,
4D,ASD,Air Sinai,AIR SINAI,Egypt,Defunct
4D,ASD,Air Sinai,AIR SINAI,Egypt,
PL,ASE,Airstars,MOROZOV,Russia,defunct
,ASF,Austrian Air Force,AUSTRIAN AIRFORCE,Austria,
,ASF,"Air Schefferville, Inc.",SCHEFF,Canada,
,ASG,African Star Airways (PTY) Ltd.,AFRICAN STAR,South Africa,
YV,ASH,Mesa Airlines,AIR SHUTTLE,United States,
,ASI,"Aerosun International, Inc.",AEROSUN,United States,
,ASJ,Air Satellite,SATELLITE,Canada,defunct
,ASK,Aerosky,MULTISKY,Spain,
,ASK,La Ronge Aviation Services,AIR SASK,Canada,
JU,ASL,Air Serbia,AIR SERBIA,Serbia,Name changed from Aeroput to JAT Yugoslav Airlines to Jat Airways to Air Serbia. Formerly used JAT as ICAO code.
,ASM,Awesome Flight Services (PTY) Ltd.,AWESOME,South Africa,
,ASN,Air and Sea Transport,,Russia,
,ASO,Aero Slovakia,AERO NITRA,Slovakia,
,ASP,Airsprint,AIRSPRINT,Canada,
EV,ASQ,Atlantic Southeast Airlines,ACEY,United States,Merged into ExpressJet Airlines
EV,ASQ,ExpressJet,ACEY,United States,
,ASR,Aero Sotravia,SOTRAVIA,France,2014
,ASR,"All Star Airlines, Inc.",ALL STAR,United States,
,ASS,"Air Class, S.A. de C.V.",AIR CLASS,Mexico,
,AST,Aerolíneas Del Oeste,AEROESTE,Mexico,
RS,ASV,Air Seoul,AIR SEOUL,South Korea,
,ASV,Astravia-Bissau Air Transports Ltd.,ASTRAVIA,Guinea-Bissau,
,ASW,Air Southwest Ltd.,AIRSOUTHWEST,Canada,defunct
,ASX,Air Special,AIRSPEC,Czech Republic,
,ASY,Royal Australian Air Force,AUSSIE,Australia,Used by RAAF units internationally
OB,ASZ,Astrakhan Airlines,AIR ASTRAKHAN,Russia,defunct
,ATA,Air Transport Association,,United States,
,ATB,Atlantair Ltd.,STARLITE,Canada,
TC,ATC,Air Tanzania,TANZANIA,Tanzania,
TC,ATC,Air Tanzania Company Limited,TANZANIA,Tanzania,
,ATD,Aerotours Dominicana,AEROTOURS,Dominican Republic,
,ATE,"Atlantis Transportation Services, Ltd.",ATLANTIS CANADA,Canada,
,ATF,Compañía Aerotécnicas Fotográficas,AEROTECNICAS,Spain,
,ATG,Aerotranscargo,MOLDCARGO,Moldova,
,ATH,Air Travel Corp.,AIR TRAVEL,United States,
HC,ATI,Aero-Tropics Air Services,AEROTROPICS,Australia,defunct
,ATJ,Air Traffic GmbH,SNOOPY,Germany,
,ATK,AeroTACA,AEROTACA,Colombia,"defunct, Aerotaxi Casanare"
,ATL,Atlas Air Service AG,AIR BREMEN,Germany,
FO,ATM,Airlines of Tasmania,AIRTAS,Australia,
8C,ATN,Air Transport International,AIR TRANSPORT,United States,
,ATP,ASTRAL Colombia - Aerotransportes Especiales Ltda.,ASTRAL,Colombia,
,ATQ,Air Transport Schiphol,MULTI,Netherlands,
,ATQ,CHC Helicopters Nigeria,COLIBRI,Nigeria,
,ATR,Atlas Airlines,ATLAS-AIR,United States,
,ATS,Air Transport Service,,Democratic Republic of the Congo,
,ATT,Aer Turas,AERTURAS,Ireland,defunct
,ATT,Attawasol Airlines,ATTAWASOL AIR,Libya,
,ATU,Atlant Aerobatics Ltd.,ATLANT HUNGARY,Hungary,
,ATV,Avanti Air,AVANTI AIR,Germany,
WP,ATW,Air Antwerp,DEVIL,Belgium,defunct
,ATW,Aero Trades (Western) Ltd.,AERO TRADES,Canada,"defunct, ICAO code no longer allocated"
,ATX,Warwickshire Aerocentre Ltd.,AIRTAX,United Kingdom,
OS,AUA,Austrian Airlines,AUSTRIAN,Austria,
IQ,AUB,Augsburg Airways,AUGSBURG-AIR,Germany,defunct
,AUC,Transaustralian Air  Express,AUSCARGO,Australia,Defunct
,AUD,"Audi Air, Inc.",AUDI AIR,United States,
,AUF,Augusta Air Luftfahrtunternehmen,AUGUSTA,Germany,
MO,AUH,Presidential Flight,SULTAN,United Arab Emirates,Presidential flight
PS,AUI,Ukraine International Airlines,UKRAINE INTERNATIONAL,Ukraine,
,AUJ,Business Flight Salzburg,AUSTROJET,Austria,
5N,AUL,Nordavia,ARCHANGELSK AIR,Russia,
,AUM,Air Atlantic Uruguay,ATLAMUR,Uruguay,
,AUN,Aviones Unidos,AVIONES UNIDOS,Mexico,
,AUN,Common Sky,COMMON SKY,Austria,
,AUO,"Empresa (Aero Uruguay), S.A.",UNIFORM OSCAR,Uruguay,
,AUP,Avia Business Group,,Russia,
GR,AUR,Aurigny Air Services,AYLINE,United Kingdom,
NO,AUS,Aus-Air,AUS-AIR,Australia,defunct
AU,AUT,Austral Líneas Aéreas,AUSTRAL,Argentina,
,AUU,"Aurora Aviation, Inc.",AURORA AIR,United States,ICAO code no longer allocated
,AUX,Air Uganda International Ltd.,,Uganda,
,AUY,"Aerolíneas Uruguayas, S.A.",AUSA,Uruguay,
AO,AUZ,Australian Airlines,AUSTRALIAN,Australia,Subsidiary merged with Qantas
AV,AVA,Avianca,AVIANCA,Colombia,
,AVB,Aviation Beauport,BEAUPAIR,United Kingdom,
,AVD,"Álamo Aviación, S.L.",ALAMO,Spain,
VE,AVE,Avensa,AVENSA,Venezuela,defunct
,AVF,Aviair Aviation Ltd.,CARIBOO,Canada,
,AVG,Aviation Legacy,AVILEF,Gambia,
,AVG,Air Falcon,DJIBOUTI FALCON,Djibouti,
,AVH,AV8 Helicopters,KENT HELI,United Kingdom,
,AVJ,Avia Traffic Company,ATOMIC,Kyrgyzstan,
,AVK,AV8 Helicopters,AVIATE-COPTER,South Africa,
,AVM,"Aviación Ejecutiva Mexicana, S.A.",AVEMEX,Mexico,
NF,AVN,Air Vanuatu,AIR VAN,Vanuatu,
,AVO,Aviation at Work,AVIATION WORK,South Africa,
,AVP,Avcorp Registrations,AVCORP,United Kingdom,No longer used
,AVP,Aviacion Corporativa de Peubla,AVIA PUEBLA,Mexico,
,AVQ,"Aviation Services, Inc.",AQUILINE,United States,
,AVR,"Active Aero Charter, Inc.",ACTIVE AERO,United States,
,AVS,Avialsa T-35,AVIALSA,Spain,
,AVT,Asia Avia Airlines,ASIAVIA,Indonesia,defunct
,AVU,Avia Sud Aérotaxi,AVIASUD,France,
,AVV,Airvantage Incorporated,AIRVANTAGE,United States,
,AVW,Aviator Airways,AVIATOR,Greece,
,AVX,Aeroclub de Vitoria,,Spain,
,AVX,Aviapaslauga,PASLAUGA,Lithuania,defunct
,AVY,"Aerovaradero, S.A.",AEROVARADERO,Cuba,
,AVZ,Air Valencia,AIR VALENCIA,Spain,
,AWB,"Airways International, Inc.",AIRNAT,United States,
ZT,AWC,Titan  Airways,ZAP,United Kingdom,
,AWD,Providence Aviation Services,,Pakistan,
HP,AWE,America West Airlines,CACTUS,United States,Merged with US Airways
US,AWE,US Airways,CACTUS,United States,"defunct, merged with American Airlines in 2015"
,AWF,Aeroforward,,United States,
A2,AWG,Animawings,ANIMA WINGS,Romania,
ZW,AWI,Air Wisconsin,WISCONSIN,United States,
,AWJ,Sahel Airlines,SAHEL AIRLINES,Niger,
,AWK,Airwork,AIRWORK,New Zealand,
,AWL,Air Walser,,Malta,
,AWL,Australian Wetleasing,AUSSIEWORLD,Australia,
,AWN,Air Niamey,AIR NIAMEY,Niger,
,AWO,Awood Air Ltd.,AWOOD AIR,Canada,
,AWP,Aeroworld Pakistan,,Pakistan,
QZ,AWQ,Indonesia AirAsia,WAGON AIR,Indonesia,
,AWR,Arctic Wings And Rotors Ltd.,ARCTIC WINGS,Canada,
,AWS,Arab Wings,ARAB WINGS,Jordan,
,AWT,Air West,AIR WEST,Canada,
2B,AWT,Albawings,ALBAWINGS,Albania,
7E,AWU,Sylt Air GmbH,SYLT-AIR,Germany,
,AWV,"Airwave Transport, Inc.",AIRWAVE,Canada,
6G,AWW,Air Wales,RED DRAGON,United Kingdom,"defunct, ICAO code no longer allocated"
,AWX,Civil Aviation Authority Directorate of Airspace Policy,ALLWEATHER,United Kingdom,
,AWY,"Aeroway, S.L.",AEROWEE,Spain,
,AWZ,AirWest,,Sudan,
IX,AXB,Air India Express,EXPRESS INDIA,India,
VP,AXC,Indochina Airlines,AIRSPUP,Vietnam,defunct
,AXD,Air Express,AIR SUDEX,Sudan,
ED,AXE,AirExplore,GALILEO,Slovakia,
,AXH,Aeromexhaga,AEROMEXHAGA,Mexico,
,AXI,"Aeron International Airlines, Inc.",AIR FREIGHTER,United States,
,AXK,African Express Airways,EXPRESS JET,Kenya,Former IATA code: QA; former ICAO code: AEK; former callsign: AFRICAN EXPRESS
XT,AXL,Air Exel,EXEL COMMUTER,Netherlands,defunct
AK,AXM,AirAsia,RED CAP,Malaysia,ICAO code no longer allocated
,AXN,Alexandair,ALEXANDROS,Greece,defunct
,AXP,Aeromax,AEROMAX SPAIN,Spain,
,AXQ,Action Airlines (Action Air Charter),ACTION AIR,United States,
,AXR,"Axel Rent, S.A.",RENTAXEL,Mexico,
,AXS,Altus Airlines,ALTUS,United States,
,AXV,Aviaxess,AXAVIA,France,
,AXX,Advance Air Luftfahrtgesellschaft,SKY SHUTTLE,Germany,
,AXX,Avioimpex A.D.p.o.,IMPEX,Macedonia,defunct
,AXY,Air X Charter,LEGEND,Malta,
6V,AXY,Axis Airways,AXIS,France,defunct
,AYB,Belgian Army,BELGIAN ARMY,Belgium,
,AYD,Aladia Airlines,AIRLINES ALADIA,Mexico,defunct
,AYE,Yunnan Yingan Airlines,AIR YING AN,China,
,AYG,Yangon Airways,AIR YANGON,Burma,
,AYK,Aykavia Aircompany,,Armenia,ICAO code no longer allocated
,AYM,"Airman, S.L.",AIRMAN,Spain,
,AYN,"Atlantic Airlines, S.A.",ATLANTIC NICARAGUA,Nicaragua,
,AYR,Flight Training Europe,CYGNET,Spain,
,AYS,Awsaj Aviation Services,,Libya,ICAO code no longer allocated
,AYT,Ayeet Aviation & Tourism,AYEET,Israel,
,AYU,Yuhi Air Lines,,Japan,
3G,AYZ,Atlant-Soyuz Airlines,ATLANT-SOYUZ,Russia,defunct
AZ,AZA,Alitalia,ALITALIA,Italy,defunct
,AZB,Azamat,TUMARA,Kazakhstan,defunct
,AZB,Zaab Air,ZAAB AIR,Ghana,
ZE,AZE,Arcus-Air Logistic,ARCUS AIR,Germany,
,AZF,Air Zermatt AG,AIR ZERMATT,Switzerland,
7L,AZG,Silk Way West Airlines,SILK WEST,Azerbaijan,
,AZG,Sakaviaservice,SAKSERVICE,Georgia,Defunct
A2,AZI,Astra Airlines,ASTRA,Greece,
ZS,AZI,Azzurra Air,AZZURRA,Italy,defunct
,AZJ,Zas Air,,Egypt,
,AZK,Azalhelikopter,AZALHELICOPTER,Azerbaijan,
,AZL,Africa One,SKY AFRICA,Zambia,defunct
,AZM,Aerocozumel,AEROCOZUMEL,Mexico,
Z8,AZN,Línea Aérea Amaszonas,,Bolivia,
,AZP,Arizona Pacific Airways,ARIZONA PACIFIC,United States,
ZP,AZP,Amaszonas Paraguay,GUARANI,Paraguay,
ZP,AZQ,Silk Way Airlines,SILK LINE,Azerbaijan,
,AZR,Zenith Air,ZENAIR,South Africa,
,AZS,Aviacon Zitotrans Air Company,ZITOTRANS,Russia,
,AZT,"Azimut, S.A.",AZIMUT,Spain,
AD,AZU,Azul Linhas Aéreas Brasileiras,Azul,Brazil,
,AZV,Azov Avia Airlines,AZOV AVIA,Ukraine,"defunct, Asov-Avia, Aircompany"
UM,AZW,Air Zimbabwe,AIR ZIMBABWE,Zimbabwe,
,AZX,Air Max Africa,AZIMA,Gabon,defunct
7A,AZY,Aztec Worldwide Airlines,AZTEC WORLD,United States,
,AZY,"Arizona Airways, Inc.",ARIZAIR,United States,
,AZZ,Azza Transport,AZZA TRANSPORT,Sudan,
,BAA,Balkan Agro Aviation,BALKAN AGRO,Bulgaria,
,BAB,Bahrain Air BSC (Closed),AWAL,Bahrain,
,BAC,BAC Leasing Limited,,United Kingdom,
,BAE,BAE Systems,FELIX,United Kingdom,Corporate Air Travel
,BAF,Belgian Air Force,BELGIAN AIRFORCE,Belgium,
DI,BAG,Dba,SPEEDWAY,Germany,Merged into Air Berlin
,BAH,The Amiri Flight,BAHRAIN,Bahrain,
8Q*,BAJ,Baker Aviation,RODEO,United States,
,BAK,Blackhawk Airways,BLACKHAWK,United States,
L9,BAL,Belle Air Europe,BELLEAIR EUROPE,Italy,Previously Britannia Airways
,BAL,Britannia Airways,BRITANNIA,United Kingdom,Defunct
,BAM,Business Air Services,BUSINESS AIR,Canada,
,BAN,British Antarctic Survey,PENGUIN,United Kingdom,
,BAP,Trans  International Express Aviation,BIG APPLE,United States,
,BAR,Bradly Air (Charter) Services,BRADLEY,Canada,
,BAS,Aero Services,AEROSERV,Barbados,
,BAT,Premiair,BALLISTIC,Luxembourg,
,BAU,Bissau Airlines,AIR BISSAU,Guinea-Bissau,
QH,BAV,Bamboo Airways,BAMBOO,Vietnam,
,BAV,Bay Aviation Ltd,BAY AIR,Bangladesh,
BA,BAW,British Airways,SPEEDBIRD,United Kingdom,
,BAX,Best Aero Handling Ltd,,Russia,
,BAY,Bravo Airways,BRAVOAVIANCA,Ukraine,
,BBA,Bannert Air,BANAIR,Austria,
VD,BBB,SwedJet Airways,BLACKBIRD,Sweden,
BG,BBC,Biman Bangladesh Airlines,BANGLADESH,Bangladesh,
BO,BBD,Bluebird Nordic,BLUE CARGO,Iceland,
,BBE,Ababeel Aviation,BABEL AIR,Sudan,
,BBF,B-Air Charter,SPEEDCHARTER,Germany,2014
,BBJ,Blue Air Lines,BLUE KOREA,South Korea,
,BBL,IBM Euroflight Operations,BLUE,Switzerland,
,BBN,Civil Aviation Authority Airworthiness Division,BRABAZON,United Kingdom,
F7,BBO,Flybaboo,BABOO,Switzerland,
S3,BBR,Santa Barbara Airlines,SANTA BARBARA,Venezuela,
,BBS,Beibars CJSC,BEIBARS,Kazakhstan,
,BBT,Air Bashkortostan,AGYDAL,Russia,defunct
,BBV,Bravo Airlines,BRAVO EUROPE,Spain,
BO,BBW,BB Airways,BEEBEE AIRWAYS,Nepal,
,BBZ,Bluebird Aviation,COBRA,Kenya,
,BCB,Carib Express,WAVEBIRD,Barbados,
B4,BCF,BACH Flugbetriebsges,BACH,Austria,
,BCH,Phillips Air,BEACHBALL,United States,
SI,BCI,Blue Islands,BLUE ISLAND,United Kingdom,
,BCJ,Blue Jet Charters,BLUE BOY,Poland,
,BCK,Priority Aviation Company,BANKCHECK,United States,
EO,BCL,British Caribbean Airways,,United Kingdom,defunct
,BCN,Ocean Air,BLUE OCEAN,Mauritania,
,BCR,British Charter,BACKER,United Kingdom,
QY,BCS,European Air Transport,POSTMAN,Belgium,
,BCT,BCT Aviation,BOBCAT,United Kingdom,
,BCV,Business Aviation Center,BUSINESS AVIATION,Ukraine,
WX,BCY,CityJet,CITY JET,Ireland,
WX,BCY,CityJet,CITY-IRELAND,Ireland,
BZ,BDA,Blue Dart Aviation,BLUE DART,India,
,BDF,Bissau Discovery Flying Club,BISSAU DISCOVERY,Guinea-Bissau,
,BDG,Mississippi State University,BULLDOG,United States,
,BDM,Air Bandama,BANDAMA,Ivory Coast,
,BDN,DERA Boscombe Down,GAUNTLET,United Kingdom,
J4,BDR,Badr Airlines,BADR AIR,Sudan,
,BDS,South Asian Airlines,SOUTH ASIAN,Bangladesh,
,BDV,Aberdair Aviation,ABERDAV,Kenya,
,BEA,Best Aviation Ltd,BEST AIR,Bangladesh,
,BEC,State Air Company Berkut,,Kazakhstan,
,BED,Belgorod Air Enterprise,BELOGORYE,Russia,defunct
BE,BEE,Flybe,JERSEY,United Kingdom,
,BEF,Balear Express,BALEAR EXPRESS,Spain,
,BEH,Bel Air Helicopters,BLUECOPTER,Denmark,
,BEK,Berkut Air,BERKUT,Kazakhstan,
SN,BEL,Brussels Airlines,BEE-LINE,Belgium,
AB,BER,Air Berlin,AIR BERLIN,Germany,defunct
W4,BES,Aero Services Executive,BIRD EXPRESS,France,
,BET,BETA - Brazilian Express Transportes Aéreos,BETA CARGO,Brazil,
,BEZ,Kingfisher Air Services,SEA BREEZE,United States,
,BFA,Presidence Du Faso,,Burkina Faso,
,BFC,Basler Flight Service,BASLER,United States,
,BFF,Air Baffin,AIR BAFFIN,Canada,renamed to Air Nunavut
,BFG,Bear Flight,BEARFLIGHT,Sweden,
J4,BFL,Buffalo Airways,BUFFALO,Canada,
,BFN,Compagnie Nationale Naganagani,,Burkino Faso,
,BFN,Compangnie Nationale Naganagani,,Burkina Faso,
,BFO,Bombardier,BOMBARDIER,Canada,
,BFR,Burkina Airlines,BURKLINES,Burkina Faso,
,BFS,Business Flight Sweden,BUSINESS FLIGHT,Sweden,
,BFW,Bahrain Defence Force,SUMMAN,Bahrain,
4Y,BGA,Airbus Transport International,BELUGA,France,
B9,BGD,Air Bangladesh,AIR BANGLA,Bangladesh,defunct
,BGF,Aviodetachment-28,BULGARIAN,Bulgaria,
,BGG,Aero BG,AERO BG,Mexico,
8H,BGH,BH Air,BALKAN HOLIDAYS,Bulgaria,
,BGI,British Gulf International,BRITISH GULF,São Tomé and Príncipe,
,BGK,British Gulf International-Fez,GULF INTER,Kyrgyzstan,
A8,BGL,Benin Golf Air,BENIN GOLF,Benin,
,BGM,Bugulma Air Enterprise,BUGAVIA,Russia,
,BGR,Budget Air Bangladesh,BUDGET AIR,Bangladesh,
,BGT,Bergen Air Transport,BERGEN AIR,Norway,
U4,BHA,Buddha Air,BUDDHA AIR,Nepal,
,BHC,Aerotaxis De La Bahia,BAHIA,Mexico,
,BHI,Balkh Airlines,SHARIF,Afghanistan,
,BHK,Blu Halkin,BLUEHAKIN,United Kingdom,
UH,BHL,Bristow Helicopters,BRISTOW,United Kingdom,
,BHN,Bristow Helicopters Nigeria,BRISTOW HELICOPTERS,Nigeria,
,BHO,Bhoja Airlines,BHOJA,Pakistan,
4T,BHP,Belair Airlines,BELAIR,Switzerland,
,BHR,Bighorn Airways,BIGHORN AIR,United States,
UP,BHS,Bahamasair,BAHAMAS,Bahamas,
,BHT,Bright Air,BRIGHTAIR,Netherlands,ICAO code and call sign no longer allocated
,BHV,Specavia Air Company,AVIASPEC,Russia,
,BHY,Bosphorus European Airways,BOSPHORUS,Turkey,
,BIB,Michelin Air Services,,France,
,BID,Binair,BINAIR,Germany,
ML,BIE,Air Mediterranee,MEDITERRANEE,France,defunct
,BIG,Big Island Air,BIG ISLE,United States,
BS,BIH,British International Helicopters,BRINTEL,United Kingdom,
,BIL,Billund Air Center,BILAIR,Denmark,
,BIN,Boise Interagency Fire Center,BISON-AIR,United States,
,BIO,Bioflight A/S,BIOFLIGHT,Denmark,
,BIR,Bird Leasing,BIRD AIR,United States,
,BIS,Irbis Air,IRBIS,Kazakhstan,
,BIS,Sky Bishek,JUMA AIR,Kyrgyzstan,
,BIV,Aviaservice,AVIASERVICE,Georgia,
,BIZ,Bizjet Ltd,BIZZ,United Kingdom,
,BJA,Baja Air,BAJA AIR,Mexico,
,BJC,Baltic Jet Aircompany,BALTIC JET,Latvia,
EX,BJK,Atlantic Airlines,BLACKJACK,United States,
,BJS,Business Jet Solutions,SOLUTION,United States,
,BJT,ACM Aviation,BAY JET,United States,
,BJU,AeroJet,JET EXPRESS,Angola,
,BJV,Beijing Vistajet Aviation,BEIJING VISTA,China,
B4,BKA,Bankair,BANKAIR,United States,
,BKF,BF-Lento OY,BAKERFLIGHT,Finland,
,BKH,RAF Barkston Heath,,United Kingdom,
,BKJ,Barken International,BARKEN JET,United States,
,BKK,Blink,BLINKAIR,United Kingdom,
,BKL,Aircompany Barcol,BARCOL,Russia,
PG,BKP,Bangkok Airways,BANGKOK AIR,Thailand,
,BKR,Civil Air Patrol South Carolina Wing,BOX KAR,United States,
,BKV,Bukovyna,BUKOVYNA,Ukraine,
,BLA,All Charter Limited,ALL CHARTER,United Kingdom,ICAO code no longer allocated
0B,BLA,Blue Air,BLUE AIR,Romania,
,BLB,Blue Bird Aviation,BLUEBIRD SUDAN,Sudan,
,BLC,Bellesavia,BELLESAVIA,Belarus,
,BLE,Blue Line,BLUE BERRY,France,
KF,BLF,Blue1,BLUEFIN,Finland,
,BLG,Belgavia,BELGAVIA,Belgium,
,BLH,Blue Horizon Travel Club,BLUE HORIZON,United States,
,BLI,Thyssen  Krupp AG,BLUELINE,Germany,
,BLJ,Blue Jet,BLUEWAY,Spain,
,BLK,Westcoast Energy,BLUE FLAME,Canada,
,BLL,Baltic Airlines,BALTIC AIRLINES,Russia,
,BLM,Blue Sky Airlines,BLUE ARMENIA,Armenia,defunct
,BLN,Bali International Air Service,BIAR,Indonesia,
,BLR,Atlantic Coast Airlines,BLUE RIDGE,United States,defunct
JV,BLS,Bearskin Lake Air Service,BEARSKIN,Canada,
,BLT,Baltic Aviation,BALTAIR,United States,
,BLU,IMP Aviation Services,BLUENOSE,Canada,
B3,BLV,Bellview Airlines,BELLVIEW AIRLINES,Nigeria,
,BLW,Wermlandsflyg AB,BLUESTAR,Sweden,
6B,BLX,TUI  fly Nordic,BLUESCAN,Sweden,
,BLY,Starair,BLARNEY,Ireland,
,BLZ,Aero Barloz,AEROLOZ,Mexico,
BD,BMA,BMI,MIDLAND,United Kingdom,defunct
,BMD,British Medical Charter,BRITISH MEDICAL,United Kingdom,
,BME,Briggs Marine Environmental Services,BRIGGS,United Kingdom,
,BMH,Bristow Masayu Helicopters,MASAYU,Indonesia,
WW,BMI,Bmibaby,BABY,United Kingdom,defunct
CH,BMJ,Bemidji Airlines,BEMIDJI,United States,
,BMK,GST Aero Aircompany,MURAT,Kazakhstan,
5Z,BML,Bismillah Airlines,BISMILLAH,Bangladesh,IATA code in use by another company
8A,BMM,Atlas Blue,ATLAS BLUE,Morocco,defunct
,BMN,Bowman Aviation,BOWMAN,United States,
BM,BMR,BMI Regional,MIDLAND,United Kingdom,
,BMV,Alatau Airlines,OLIGA,Kazakhstan,
,BMW,BMW,BMW-FLIGHT,Germany,
,BMX,Banco de Mexico,BANXICO,Mexico,
,BNA,Bun Air Corporation,BUN AIR,United States,
,BNB,Aero Banobras,AEROBANOBRAS,Mexico,
,BNC,Sundance Air,BARNACLE AIR,United States,
,BND,Bond Offshore Helicopters,BOND,United Kingdom,
,BNE,Benina Air,BENINA AIR,Libya,
BN,BNF,Braniff International Airways,Braniff,United States,defunct
,BNG,BN Group Limited,VECTIS,United Kingdom,
,BNI,Alberni Airways,ALBERNI,Canada,
,BNJ,Air Service Liège (ASL),JET BELGIUM,Belgium,
,BNL,Blue Nile Ethiopia Trading,NILE TRADING,Ethiopia,
,BNR,Bonair Aviation,BONAIR,Canada,
,BNS,Bancstar - Valley National Corporation,BANCSTAR,United States,
,BNT,Bentiu Air Transport,BENTIU AIR,Sudan,
,BNV,Benane Aviation Corporation,BENANE,Mauritania,
,BNW,British North West Airlines,BRITISH NORTH,United Kingdom,
KG,BNX,LAI - Línea Aérea IAACA,AIR BARINAS,Venezuela,
,BNZ,Aerolíneas Bonanza,AERO BONANZA,Mexico,
AB,BNZ,Bonza,BONZA,Australia,
,BOA,Boniair,KUMANOVO,North Macedonia,
,BOB,Backbone A/S,BACKBONE,Denmark,
,BOC,Aerobona,AEROBONA,Mexico,
,BOD,Bond Air Services,UGABOND,Uganda,
,BOE,Boeing,BOEING,United States,
,BOF,Bordaire,BORDAIR,Canada,
PR,BOI,2GO,ABAIR,Philippines,
,BOL,Transportes Aéreos Bolivianos,BOL,Bolivia,
JA,BON,B&H Airlines,Air Bosna,Bosnia and Herzegovina,
,BOO,Bookajet Limited,BOOKAJET,United Kingdom,
,BOS,OpenSkies,MISTRAL,United Kingdom,
BP,BOT,Air Botswana,BOTSWANA,Botswana,
BO,BOU,Bouraq Indonesia Airlines,BOURAQ,Indonesia,
OB,BOV,Boliviana de Aviación,BOLIVIANA,Bolivia,
3S,BOX,Aerologic,GERMAN CARGO,Germany,
,BOX,Tiphook PLC,BOX,United Kingdom,defunct
BV,BPA,Blue Panorama Airlines,BLUE PANOROMA,Italy,
,BPH,Phoenix Helicopter Academy,BLACK PHOENIX,United Kingdom,
,BPK,Berkhut ZK,VENERA,Kazakhstan,
,BPO,Bundespolizei-Fliegertruppe,PIROL,Germany,
,BPS,Budapest Aircraft Services/Manx2,BASE,Hungary,
,BPT,Bonus Aviation,BONUS,United Kingdom,
,BPX,British Petroleum Exploration,,Colombia,
7R,BRB,BRA-Transportes Aéreos,BRA-TRANSPAEREOS,Brazil,
,BRD,Brock Air Services,BROCK AIR,Canada,
,BRE,Breeze Ltd,AVIABREEZE,Ukraine,
,BRF,Air Bravo,AIR BRAVO,Uganda,
8E,BRG,Bering Air,BERING AIR,United States,
YB,BRJ,Borajet,BORA JET,Turkey,
,BRK,Briansk State Air Enterprise,BRIANSK-AVIA,Russia,
,BRL,Air Brasd'or,BRASD'OR,Canada,
,BRM,Air 500,BOOMERANG,Canada,defunct
,BRN,Branson Airlines,BRANSON,United States,
,BRO,2Excel Aviation,BROADSWORD,United Kingdom,
,BRO,BASE Regional Airlines,COASTRIDER,Netherlands,"ICAO code in use by another company, call sign no longer allocated"
,BRP,AeroBratsk,AEROBRA,Russia,
UZ,BRQ,El-Buraq Air Transport,BURAQAIR,Libya,
